,name,ratings,price,imgURL,storage_ram,camera,oS_Processor,display,network,battery
38,"('OnePlus Nord (Gray Onyx, 128 GB)', None)","('4.2', None)","('₹24,990', None)","('https://rukminim2.flixcart.com/image/312/312/kdhphu80/mobile/n/v/j/oneplus-nord-b08695zsp6-original-imafue5gb5y3fwcy.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GBMemory Card Slot TypeDedicated SlotCall Log MemoryYes', None)","('Primary Camera50MP Rear Camera', None)","('Operating SystemAndroid Q 10Processor TypeQualcomm® Snapdragon™ 765GProcessor CoreOcta CorePrimary Clock Speed2.4 GHzSecondary Clock Speed2.2 GHz', None)","('Display Size16.36 cm (6.44 inch)Resolution2400 x 1080$$pixelResolution TypeFull HD+GPUAdreno 620Display Typefluid AmoledOther Display FeaturesVideo enhancer\nReading mode\nNight mode', None)","(""Network Type5G, 4G VOLTESupported Networks5G, GSMInternet ConnectivityIN, GSM, (850/900/1800/1900), WCDMA, (B1/B2/B4/B5/B8/B9/B19), LTE-FDD, (B1/2/3/4/5/7/8/12/17/18/19/20/26), LTE-TDD, (B38/39/40/41/46), 5G, N78, MIMO:LTE: B1, 3, 40 NR: N78, Network connectivity may vary depending on carrier's network and related service deployment3GYesBluetooth SupportYesBluetooth Version5.1Wi-FiYesWi-Fi Version802.11 a/b/g/n/acWi-Fi HotspotYesNFCYesUSB TetheringYesUSB ConnectivityYes"", None)","('Battery Capacity4115 mAhBattery Typelithium-ion', None)"
39,"('OnePlus 10T 5G (Moonstone Black, 128 GB)', None)","('4.3', None)","('₹47,999', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/i/f/-original-imaggceewkgkxthq.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera50MP Rear Camera', None)","('Operating SystemAndroid 12Processor CoreOcta CorePrimary Clock Speed3.19 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2412x1080 Pixel', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity4800 mAh', None)"
40,"('OnePlus 10T 5G (Jade Green, 256 GB)', None)","('4.2', None)","('₹48,990', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/9/g/-original-imagkn6dknzhfhck.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GBMemory Card Slot TypeHybrid Slot', None)","('Primary Camera48MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid 12Processor CoreOcta CorePrimary Clock Speed3.19 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2412 x 1080 Pixel', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity4800 mAh', None)"
41,"('OnePlus 9 Pro 5G (Stellar Black, 256 GB)', None)","('3.8', None)","('₹49,949', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/r/r/-original-imagdm3mhu4hu4xx.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GB', None)","('Primary Camera50MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Q 111Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution3216 X 1440 pixels', None)","('Network Type5GSupported Networks4G LTE, CDMA, GSM, 5G', None)","('Battery Capacity4500 mAh', None)"
42,"('OnePlus Nord 2 5G (Blue Haze, 256 GB)', None)","('4.3', None)","('₹32,990', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/4/n/-original-imagdbfgmrkgcnub.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera16MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size16.33 cm (6.43 inch)Resolution1080 x 2400$$pixels', None)","('Network Type5GSupported Networks4G LTE, 5G, GSM', None)","('Battery Capacity4500 mAh', None)"
43,"('OnePlus 6T (Mirror Black, 128 GB)', None)","('4.5', None)","('₹31,899', None)","('https://rukminim2.flixcart.com/image/312/312/k3rmm4w0/mobile/h/h/w/oneplus-6t-a6010-original-imafmtdwnnzbgny7.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GB', None)","('Primary Camera48MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Pie Oxygen OSProcessor CoreOcta CorePrimary Clock Speed2.8 GHz', None)","('Display Size16.64 cm (6.55 inch)Resolution2340 x 1080$$pixel', None)","('Network Type4G VOLTE, 3GSupported Networks4G VoLTE, GSM', None)","('Battery Capacity3800 mAh', None)"
44,"('OnePlus 9 5G (Arctic Sky, 256 GB)', None)","('4', None)","('₹39,999', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/7/i/-original-imaggceejthk79fq.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GB', None)","('Primary Camera48MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size16.64 cm (6.55 inch)Resolution2400 x 1080 pixel', None)","('Network Type5GSupported Networks4G LTE, GSM, CDMA, 5G', None)","('Battery Capacity4500 mAh', None)"
45,"('OnePlus 8T 5G (Lunar Silver, 128 GB)', None)","('4.4', None)","('₹29,990', None)","('https://rukminim2.flixcart.com/image/312/312/kyrlifk0/screen-guard/tempered-glass/w/w/i/oneplus-8t-back-tempered-glass-epicshield-original-imagawn2haegvqnf.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GB', None)","('Primary Camera48MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Q 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size16.64 cm (6.55 inch)Resolution2400 x 1080$$pixel', None)","('Network Type5GSupported Networks5G, GSM, CDMA, 4G LTE', None)","('Battery Capacity4500 mAh', None)"
46,"('OnePlus 9 Pro 5G (Morning Mist, 128 GB)', None)","('4.2', None)","('₹49,499', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/e/d/-original-imagdm2pfyx3stpp.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GB', None)","('Primary Camera48MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Q 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution3216 X 1440$$Pixels', None)","('Network Type5GSupported Networks4G LTE, GSM, CDMA, 5G', None)","('Battery Capacity4500 mAh', None)"
47,"('OnePlus 9 5G (Winter Mist, 256 GB)', None)","('4', None)","('₹38,899', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/n/y/-original-imagdhtmgbg6vyrd.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GB', None)","(nan, None)","('Operating SystemAndroid Q 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size16.64 cm (6.55 inch)Resolution2400 x 1080$$pixel', None)","('Network Type5GSupported Networks4G LTE', None)","('Battery Capacity4500 mAh', None)"
48,"('OnePlus 10T 5G (Jade Green, 128 GB)', None)","('4.3', None)","('₹46,449', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/r/i/-original-imaghfm9f4bqq4bm.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera50MP Rear Camera', None)","('Operating SystemAndroid 12Processor CoreOcta CorePrimary Clock Speed3.19 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2412 x 1080 Pixels', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity4800 mAh', None)"
49,"('OnePlus Nord 2 5G (Blue Haze, 256 GB)', None)","('4.3', None)","('₹32,990', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/4/n/-original-imagdbfgmrkgcnub.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera50MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size16.33 cm (6.43 inch)Resolution1080 x 2400$$pixels', None)","('Network Type5GSupported Networks4G LTE, 5G, GSM', None)","('Battery Capacity4500 mAh', None)"
50,"('OnePlus 6T (Mirror Black, 128 GB)', None)","('4.5', None)","('₹31,899', None)","('https://rukminim2.flixcart.com/image/312/312/k3rmm4w0/mobile/h/h/w/oneplus-6t-a6010-original-imafmtdwnnzbgny7.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GB', None)","('Primary Camera16MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Pie Oxygen OSProcessor CoreOcta CorePrimary Clock Speed2.8 GHz', None)","('Display Size16.64 cm (6.55 inch)Resolution2340 x 1080$$pixel', None)","('Network Type4G VOLTE, 3GSupported Networks4G VoLTE, GSM', None)","('Battery Capacity3800 mAh', None)"
51,"('OnePlus 9 5G (Arctic Sky, 256 GB)', None)","('4', None)","('₹39,999', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/7/i/-original-imaggceejthk79fq.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GB', None)","('Primary Camera48MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size16.64 cm (6.55 inch)Resolution2400 x 1080 pixel', None)","('Network Type5GSupported Networks4G LTE, GSM, CDMA, 5G', None)","('Battery Capacity4500 mAh', None)"
52,"('OnePlus 9 5G (Astral Black, 256 GB)', None)","('4', None)","('₹39,999', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/9/o/l/-original-imagdh2zh7hbwyxh.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GB', None)","('Primary Camera48MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Q 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size16.81 cm (6.62 inch)Resolution2400 x 1080$$pixel', None)","('Network Type5GSupported Networks4G LTE, 5G, CDMA, GSM', None)","('Battery Capacity4500 mAh', None)"
53,"('OnePlus 9 Pro 5G (Pine Green, 256 GB)', None)","('3.8', None)","('₹54,450', None)","('https://rukminim2.flixcart.com/image/312/312/l27wtjk0/mobile/i/t/v/9-pro-le2121-oneplus-original-imagdm32wypz44tr.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GB', None)","('Primary Camera48MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Q 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution3216 X 1440$$Pixels', None)","('Network Type5GSupported Networks4G LTE, GSM, CDMA, 5G', None)","('Battery Capacity4500 mAh', None)"
54,"('OnePlus 9 Pro 5G (Stellar Black, 128 GB)', None)","('4.2', None)","('₹42,999', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/r/r/-original-imagdm3mhu4hu4xx.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GB', None)","('Primary Camera48MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Q 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution3216 X 1440$$pixels', None)","('Network Type5GSupported Networks5G, CDMA, GSM, 4G LTE', None)","('Battery Capacity4500 mAh', None)"
55,"('OnePlus 8T 5G (Lunar Silver, 128 GB)', None)","('4.4', None)","('₹29,990', None)","('https://rukminim2.flixcart.com/image/312/312/kyrlifk0/screen-guard/tempered-glass/w/w/i/oneplus-8t-back-tempered-glass-epicshield-original-imagawn2haegvqnf.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GB', None)","('Primary Camera48MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Q 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size16.64 cm (6.55 inch)Resolution2400 x 1080$$pixel', None)","('Network Type5GSupported Networks5G, GSM, CDMA, 4G LTE', None)","('Battery Capacity4500 mAh', None)"
56,"('OnePlus 10 Pro 5G (Emerald Forest, 128 GB)', None)","('4.2', None)","('₹54,999', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/j/q/-original-imagkgshx9kfayxq.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GBMemory Card Slot TypeHybrid Slot', None)","('Primary Camera48MP Rear Camera', None)","('Operating SystemAndroid 12Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution3216 x 1440 pixel', None)","('Network Type5GSupported Networks5G, 4G VoLTE, 4G LTE', None)","('Battery Capacity5000 mAh', None)"
57,"('OnePlus 9 5G (Winter Mist, 256 GB)', None)","('4', None)","('₹38,899', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/n/y/-original-imagdhtmgbg6vyrd.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GB', None)","('Primary Camera48MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Q 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size16.64 cm (6.55 inch)Resolution2400 x 1080$$pixel', None)","('Network Type5GSupported Networks4G LTE', None)","('Battery Capacity4500 mAh', None)"
58,"('OnePlus 7T (Glacier Blue, 256 GB)', None)","('4.6', None)","('₹32,992', None)","('https://rukminim2.flixcart.com/image/312/312/kf2v3ww0/mobile/n/s/g/oneplus-7t-hd1901-original-imafvmh5gpqgk2my.jpeg?q=70', None)","('Internal Storage256 GBRAM8 GB', None)","('Primary Camera AvailableYesPrimary Camera48 MP + 12 MP + 16 MPPrimary Camera FeaturesUltra wide angle : When shooting photos or videos, switch over to the ultra wide angle camera at the press of a button to instantly widen your frame to a dramatic 117° field of view. Even up close, effortlessly capture large group shots and sprawling landscapes.\nNightscape : Available on both the main camera and the ultra wide angle camera, Nightscape mode combines information from multiple frames in varying exposures to produce a wider dynamic range. The result? Bright, clear, dramatic photos—even in surprisingly dark environments.\nUltraShot Engine : Optimized with our intelligent photography engine, the OnePlus 7T takes breathtaking photos, even in difficult lighting. From backlit portraits to sunsets at dusk, capture it all in remarkable clarity.Optical ZoomYesSecondary Camera AvailableYesSecondary Camera16MP Front CameraSecondary Camera FeaturesFront camera : The OnePlus 7T’s 16 MP front-facing camera has Portrait mode built right in for more impressive selfies, while EIS stabilization keeps videos smooth and steady when streaming or video chatting.FlashBack FlashDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Pie 10Processor TypeQualcomm® Snapdragon™ 855 PlusProcessor CoreOcta CorePrimary Clock Speed2.9 GHzOperating Frequency855', None)","('Display Size16.64 cm (6.55 inch)Resolution2400 x 1080$$PixelsGPUAdreno 640Other Display FeaturesThe OnePlus 7T’s smooth 90 Hz refresh rate is enhanced by over 370 optimizations in OxygenOS for seamless visuals and ultra-responsive touch design. Once you experience the smoothness of Fluid Display, you’ll never settle for anything less.\nBinge all your favorites in jaw-dropping clarity with HDR playback on Netflix, YouTube, and Amazon Prime Video. HDR10+ produces deeper blacks, brighter whites, and more true-to-life visuals for stunning movies, games, and photos. Experience more immersive entertainment, anytime, anywhere.\nImproved with new sensors and algorithms, our next-generation fingerprint reader is more accurate and more secure. Simply tap on the display to unlock the OnePlus 7T in an instant.\nIn direct sunlight, an astonishing 1,000 nits of brightness ensures that everything is clear and vivid. In the dark, TÜV-certified blue-light reduction allows for safer, more comfortable nighttime reading. It’s the smartphone display that’s designed to go anywhere.', None)","('Network Type4G, 3G, 2GSupported Networks4G LTE, GSMWi-FiYesWi-Fi Version802.11 a/b/g/n/acWi-Fi HotspotYes', None)","('Battery Capacity3800 mAhBattery Typelithium-ion', None)"
59,"('OnePlus Nord CE 5G (Blue Void, 128 GB)', None)","('3.4', None)","('₹24,499', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/w/v/-original-imagdm4pzduvcfx4.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GB', None)","('Primary Camera64MP Rear Camera', None)","('Operating SystemAndroid 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size16.33 cm (6.43 inch)Resolution1080 x 2400 pixels', None)","('Network Type5GSupported Networks4G LTE, 5G, GSM, CDMA', None)","('Battery Capacity4500 mAh', None)"
60,"('OnePlus Nord 2 5G (Blue Haze, 128 GB)', None)","('4.4', None)","('₹33,999', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/4/n/-original-imagdbfgmrkgcnub.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera50MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size16.33 cm (6.43 inch)Resolution1080 x 2400$$pixels', None)","('Network Type5GSupported Networks5G, GSM, 4G LTE', None)","('Battery Capacity4500 mAh', None)"
61,"('OnePlus Nord 2T 5G (Gray Shadow, 128 GB)', None)","('4.4', None)","('₹28,795', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/a/v/-original-imagfx6b9shazw8u.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera50MP Rear Camera', None)","('Operating SystemAndroid 13Processor CoreOcta CorePrimary Clock Speed2.4 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2400 x 1080 Pixels', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity4500 mAh', None)"
62,"('OnePlus 9 Pro 5G (Stellar Black, 128 GB)', None)","('4.2', None)","('₹44,990', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/a/d/-original-imaggceerybsxbff.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GB', None)","('Primary Camera48MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution3216 X 1440 pixels', None)","('Network Type5GSupported Networks5G, CDMA, GSM, 4G LTE', None)","('Battery Capacity4500 mAh', None)"
63,"('OnePlus 8 Pro (Glacial Green, 128 GB)', None)","('4.5', None)","('₹39,990', None)","('https://rukminim2.flixcart.com/image/312/312/kdakakw0/mobile/7/y/5/oneplus-8-pro-b078bn2h3r-original-imafu8ehrbvfdahy.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera AvailableYesPrimary Camera48MP + 8MP + 5MPPrimary Camera FeaturesCINE aspect ratio video recording, Video HDR, Cat&Dog face detect & focus, UltraShot HDR, Nightscape, Super Micro, Portrait, Pro Mode, Panorama, AI Scene Detection, RAW Image, Audio Zoom, Audio 3DSecondary Camera AvailableYesSecondary Camera16MP Front CameraSecondary Camera FeaturesFace Unlock, HDR, Screen Flash, Face RetouchingFlashbackFull HD RecordingYesDual Camera LensPrimary Camera', None)","('Operating SystemAndroid 10Processor TypeQualcomm Snapdragon 865Processor CoreOcta CorePrimary Clock Speed2.86 GHz', None)","('Display Size17.22 cm (6.78 inch)Resolution3168 x 1440$$PixelsResolution TypeFull HD+GPUAdreno 650Display TypeFluid AMOLEDOther Display FeaturesAdaptive Display\nVibrant Color Effect Pro\nMotion Graphics Smoothing\nReading Mode\nNight Mode', None)","('Network Type4G VOLTESupported Networks4G VoLTEInternet Connectivity4×4 MIMO, Supports up to DL Cat 18 / UL Cat 13(1.2Gbps / 150Mbps), depending on carrier supportMicro USB PortYesBluetooth SupportYesBluetooth Version5.1Wi-FiYesWi-Fi VersionIEEE 802.11 a/b/g/n/ac/ax, 2.4G+5G, 2x2 MIMOWi-Fi HotspotYesNFCYesUSB ConnectivityYes', None)","('Battery Capacity4510 mAhBattery Typelithium-ion', None)"
64,"('OnePlus 10T 5G (Moonstone Black, 128 GB)', None)","('4.3', None)","('₹47,999', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/i/f/-original-imaggceewkgkxthq.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera50MP Rear Camera', None)","('Operating SystemAndroid 12Processor CoreOcta CorePrimary Clock Speed3.19 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2412x1080 Pixel', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity4800 mAh', None)"
65,"('OnePlus 9 Pro 5G (Morning Mist, 128 GB)', None)","('4.2', None)","('₹44,990', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/e/d/-original-imagdm2pfyx3stpp.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GB', None)","('Primary Camera48MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Q 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution3216 X 1440$$Pixels', None)","('Network Type5GSupported Networks4G LTE, GSM, CDMA, 5G', None)","('Battery Capacity4500 mAh', None)"
66,"('OnePlus Nord 2T 5G (Jade Fog, 256 GB)', None)","('4.3', None)","('₹33,990', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/f/p/-original-imagfx6hq9spfegc.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera50MP Rear Camera', None)","('Operating SystemAndroid 12Processor CoreOcta CorePrimary Clock Speed2.4 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2400x1080 pixels', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity4500 mAh', None)"
67,"('OnePlus 9RT 5G (Hacker Black, 128 GB)', None)","('4.3', None)","('₹42,500', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/u/5/-original-imagdkxf7sg33nye.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GB', None)","('Primary Camera50MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Q 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size16.81 cm (6.62 inch)Resolution1080 x 2400$$pixel', None)","('Network Type5G, 4G VOLTESupported Networks4G LTE, GSM, 5G, CDMA', None)","('Battery Capacity4500 mAh', None)"
68,"('OnePlus 10 Pro 5G (Volcanic Black, 256 GB)', None)","('3.9', None)","('₹69,000', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/i/g/-original-imaggcee7yprwrhx.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GB', None)","('Primary Camera48MP Rear Camera', None)","('Operating SystemAndroid 12Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution3216 x 1440 pixel', None)","('Network Type5GSupported Networks4G LTE, GSM, CDMA', None)","('Battery Capacity5000 mAh', None)"
69,"('OnePlus Nord 2T 5G (Gray Shadow, 128 GB)', None)","('4.4', None)","('₹28,900', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/a/v/-original-imagfx6b9shazw8u.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GBMemory Card Slot TypeDedicated Slot', None)","('Primary Camera50MP Rear Camera', None)","('Operating SystemAndroid 13Processor CoreOcta CorePrimary Clock Speed2.4 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution2400 x 1080 Pixels', None)","('Network Type5GSupported Networks5G', None)","('Battery Capacity4500 mAh', None)"
70,"('OnePlus 9 Pro (Pine Green, 128 GB)', None)","('3.9', None)","('₹64,999', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/a/a/-original-imaggcee9rkgswbx.jpeg?q=70', None)","('Internal Storage128 GBRAM8 GB', None)","('Primary Camera48MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution3216 X 1440 Pixels', None)","('Network Type5GSupported Networks4G LTE, GSM, CDMA, 5G', None)","('Battery Capacity4500 mAh', None)"
71,"('OnePlus Nord CE 5G (Charcoal Ink, 256 GB)', None)","('4.1', None)","('₹27,990', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/i/o/-original-imagdm464yqqgnj3.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GB', None)","('Primary Camera64MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Q 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size16.33 cm (6.43 inch)Resolution1080x2400$$Pixels', None)","('Network Type5GSupported Networks4G LTE, CDMA, GSM, 5G', None)","('Battery Capacity4500 mAh', None)"
72,"('OnePlus 9 5G (Arctic Sky, 256 GB)', None)","('4', None)","('₹54,999', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/q/l/-original-imagdh239er3qnz2.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GB', None)","('Primary Camera48MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Q 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size16.64 cm (6.55 inch)Resolution2400 x 1080$$pixel', None)","('Network Type5GSupported Networks4G LTE, 5G, CDMA, GSM', None)","('Battery Capacity4500 mAh', None)"
73,"('OnePlus 10 Pro 5G (Volcanic Black, 256 GB)', None)","('3.9', None)","('₹69,000', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/i/g/-original-imaggcee7yprwrhx.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GB', None)","('Primary Camera48MP Rear Camera', None)","('Operating SystemAndroid 12Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution3216 x 1440 pixel', None)","('Network Type5GSupported Networks4G LTE, GSM, CDMA', None)","('Battery Capacity5000 mAh', None)"
74,"('OnePlus 9 Pro 5G (Morning Mist, 256 GB)', None)","('3.8', None)","('₹49,999', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/e/d/-original-imagdm2pfyx3stpp.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GB', None)","('Primary Camera48MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid Q 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution3216 X 1440$$Pixels', None)","('Network Type5GSupported Networks5G, 4G LTE, GSM, CDMA', None)","('Battery Capacity4500 mAh', None)"
75,"('OnePlus 9 Pro 5G (Pine Green, 256 GB)', None)","('3.8', None)","('₹47,999', None)","('https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/a/a/-original-imaggcee9rkgswbx.jpeg?q=70', None)","('Internal Storage256 GBRAM12 GB', None)","('Primary Camera48MP Rear CameraDual Camera LensPrimary Camera', None)","('Operating SystemAndroid 11Processor CoreDual CorePrimary Clock Speed2.4 GHz', None)","('Display Size17.02 cm (6.7 inch)Resolution3216 X 1440 Pixels', None)","('Network Type5GSupported Networks4G LTE, GSM, CDMA, 5G', None)","('Battery Capacity4500 mAh', None)"
